CELL_LINE_NAME	AEW541	Nilotinib	17-AAG	PHA-665752	Lapatinib	Nutlin-3	AZD0530	PF2341066	L-685458	ZD-6474	Panobinostat	Sorafenib	Irinotecan	Topotecan	LBW242	PD-0325901	PD-0332991	Paclitaxel	AZD6244	PLX4720	RAF265	TAE684	TKI258	Erlotinib
HCC-44	0		-1	0	1	1	1	1	1	0	-1	0		-1	-1	0		-1	0	0	0	0	1	1
HCC-56	0	1		1	1	1	0	1		0	-1	1	0	0	1	-1	1	-1	-1	1	0	0	1	1
HCC70	0	1	-1	1	0	1	0	1	1	0	-1	0	-1	-1	1	-1	1	-1	0	1	0	0	0	1
HCC-78	1	1	0	0	1	1	1	0	1	0	-1	1		-1	1	1	1	-1	1	1	1	0	1	1
HCC827	0		-1	1	0	1	-1	1	0	-1	-1	0		0	1	0		-1	1	1		0	1	-1
HCT 116	0	1	-1	0	1	0	1	0	1	1	-1	0	-1	-1	1	-1	1	-1	0	1	-1	0	0	1
HCT-15	0	0	-1	1	0	1	0	1	1	1	-1	0	-1	-1	0	0	1	-1	0	1	-1	0	0	1
HD-MY-Z	0		-1	0	0	1	0	0		1	-1	0		-1	1	-1		-1	-1	0		0	0	0
HDQ-P1	0	-1	-1	0	-1	0	-1	0	-1	-1	-1	1	-1	-1	0	-1	-1	-1	0	1	-1	0	0	0
HEC-151	1	0	-1	0	0	1	0	0	0	-1	-1	0	-1	-1	0	-1	0	-1	-1	1	-1	0	0	-1
HEC-1-A	0	0	-1	1	1	1	0	1	1	1	-1	0		-1	0	0	1	-1	0	1	0	0	0	1
HEC-1-B	0	0	-1	1	0	1	-1	0	0	0	-1	0	0	-1	0	-1	0	-1	-1	1	0	0	0	0
HEC-251	0	1	-1	1	0	1	0	1	0	0	-1	0	0	-1	1	0	1	-1	0	1	-1	0	0	0
HEC-265	1	0	-1	0	1	1	1	0	1	0	-1	0	-1	-1	0	1	1	-1	1	1	-1	1	0	1
HEC-59	1	1	-1	1	1	1	1	0	0	1	-1	0	-1	-1	1	1	1	-1	1	1	-1	0	1	1
HEC-6	0	0	-1	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	1	0	0	0	0	0
HEL 92.1.7	0	1	-1	1	1	1	0	1	1	0	-1	1		-1	0	0	1	-1	0	1	0	0	0	1
Hep 3B2.1-7	0	0	-1	1	1	0	0	0	1	0	-1	0	0	0	1	-1	1	-1	0	1	0	-1	0	1
Hep G2	0	1	-1	1	1	0	1	0	1	0	-1	1	-1	-1	0	-1	0	-1	-1	0	0	0	0	1
Hey-A8	0	1	-1	1	1	1	0	0	1		-1	0	-1	-1	1	-1	1	-1	0		-1	0	0	1
HGC-27	0	0	-1	1	1	1	0	0	0	0	-1	1	0	-1	1	1	0	-1	1	1	0	-1	0	1
HH	0	0	-1	1	0	0	0	0	0	0	-1	0		-1	0	0	0	-1	0	1	0	0	1	1
HLE	1	1	-1	1	1	1	0	1	1	0	-1	1	-1	-1	1	0	1	-1	1	1	0	0	0	1
HLF	0	1	-1	1	1	0	0	1	1	0	-1	0	-1	-1	0	0	1	-1	0	0	0	0	0	0
HMC-1-8	0	1	-1	1	1	1	1	0	1	1	-1	1	0	-1	1	-1	1	-1	-1	1	1	0	1	1
HMCB	0	0	-1	0	0	1	0	1	1	0	-1	0	-1	-1	1	0	1	-1	1	1	-1	0	0	0
HOS	0	1	-1	0	0	0	1	0	1	0	-1	1	-1	-1	0	0	0	-1	1	1	0	0	1	1
HPAC	0	0	-1	0	0	0	0	0	1	0	-1	0	-1	-1	0	-1	0	-1	-1	0	0	0	0	0
HPAF-II	0		-1	0	0	0	0	0	0	0	-1	1		-1	0	-1		-1	-1	1	0	0	0	0
Hs 229.T	1	1	-1	0	1	1	1	1	1	0	-1	1		0	1	1	1	-1	1	1	0	0	0	1
Hs 294T	0	1	-1	1	1	0	0	0	1	0	-1	1	-1	-1	0	-1	1	-1	0	0	0	0	0	0
Hs 578T	1	1	-1	1	1	1	1	1	1	1	-1	1		0	0	0	1	-1	1	1	0	0	0	1
Hs 683	0	1	-1	1	1	1	0	0	1	1	-1	1	-1	-1	1	0	1	-1	1	1	0	0	0	1
Hs 695T	0	1	-1	1	1	1	1	1	1	0	-1	1	-1	-1	0	-1	1	-1	0	0	0	0	0	1
Hs 729	0		-1	0	1	0	0	0	1	0	-1	1		-1	0	1		-1	0	1	0	0	0	1
Hs 739.T	0	0	-1	1	1	0	0	0	1	0	-1	0	-1	-1	1	0	0	-1	1	1	0	-1	0	1
Hs 746T	0	0	-1	0	0	0	0	-1	0	0	-1	1		-1	0	-1	0	-1	0	1	-1	0	0	1
Hs 766T	1	1	-1	1	1	0	0	0	1	0	-1	1	0	0	1	-1	0	-1	-1	1	0	0	0	0
Hs 840.T	0	1	-1	0	1	1	0	0	1	-1	-1	1	-1	0	1	0	0	-1	0	1	-1	0	0	1
Hs 852.T	0	0	-1	1	1	1	0	0	1	0	-1	1	0	0	1	-1	1	-1	0	1	0	-1	0	1
Hs 895.T	0	0	-1	1	1	1	1	0	1	0	-1	0		0	0	0	0	-1	1	0	-1	0	-1	1
Hs 936.T	1	1	-1	1	1	1	1	1	1	0	-1	1	0	0	1	-1	1	-1	-1	0	0	1	1	1
Hs 939.T	1	0	-1	0	1	1	0	1	1	0	-1	1		0	0	-1	0	-1	-1	0	0	1	0	1
